"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2021","2,612.75","2,575.75","2,622.00","2,574.00","-","1.50%"
"Aug 12, 2021","2,574.25","2,587.50","2,607.25","2,567.50","-","-0.46%"
"Aug 11, 2021","2,586.25","2,583.50","2,593.75","2,574.25","-","0.06%"
"Aug 10, 2021","2,584.75","2,555.25","2,591.75","2,551.00","-","1.66%"
"Aug 09, 2021","2,542.50","2,551.25","2,573.25","2,542.40","-","-1.19%"
"Aug 06, 2021","2,573.25","2,582.25","2,590.42","2,582.25","-","-0.62%"
"Aug 05, 2021","2,589.25","2,590.00","2,590.57","2,568.25","-","0.82%"
"Aug 04, 2021","2,568.25","2,564.75","2,588.15","2,564.50","-","-0.77%"
"Aug 03, 2021","2,588.15","2,618.75","2,618.75","2,597.88","-","-1.17%"
"Aug 02, 2021","2,618.75","2,628.50","2,631.14","2,603.00","-","0.81%"
"Jul 30, 2021","2,597.75","2,596.75","2,641.25","2,582.50","-","0.09%"
"Jul 29, 2021","2,595.50","2,524.75","2,596.25","2,518.50","-","1.64%"
"Jul 28, 2021","2,553.50","2,534.25","2,538.50","2,502.50","-","2.69%"
"Jul 27, 2021","2,486.50","2,502.75","2,524.50","2,479.25","-","-0.67%"
"Jul 26, 2021","2,503.25","2,510.25","2,526.25","2,481.00","-","-0.16%"
"Jul 23, 2021","2,507.25","2,468.25","2,509.75","2,468.00","-","1.67%"
"Jul 22, 2021","2,466.00","2,456.00","2,488.75","2,448.50","-","0.65%"
"Jul 21, 2021","2,450.00","2,461.95","2,461.95","2,443.43","-","0.14%"
"Jul 20, 2021","2,446.50","2,423.00","2,470.25","2,421.50","-","1.16%"
"Jul 19, 2021","2,418.50","2,470.25","2,540.00","2,412.00","-","-2.78%"
"Jul 16, 2021","2,487.75","2,509.00","2,528.75","2,484.25","-","-0.91%"
"Jul 15, 2021","2,510.50","2,519.00","2,537.50","2,502.75","-","0.01%"
"Jul 14, 2021","2,510.30","2,505.00","2,522.75","2,502.75","-","-1.03%"
"Jul 13, 2021","2,536.50","2,493.75","2,546.25","2,481.00","-","2.53%"
"Jul 12, 2021","2,474.00","2,479.25","2,485.25","2,472.50","-","-0.87%"
"Jul 09, 2021","2,495.75","2,453.25","2,511.00","2,453.25","-","1.77%"
"Jul 08, 2021","2,452.25","2,488.25","2,492.50","2,431.75","-","-1.41%"
"Jul 07, 2021","2,487.25","2,474.25","2,516.75","2,474.00","-","-1.17%"
"Jul 06, 2021","2,516.75","2,496.25","2,543.50","2,493.00","-","-1.05%"
"Jul 05, 2021","2,543.50","2,553.50","2,554.50","2,550.25","-","-0.56%"
"Jul 02, 2021","2,557.75","2,506.50","2,564.00","2,506.25","-","2.00%"
"Jul 01, 2021","2,507.50","2,522.50","2,526.50","2,491.75","-","-0.48%"
"Jun 30, 2021","2,519.50","2,521.00","2,549.00","2,510.61","-","-0.45%"
"Jun 29, 2021","2,531.00","2,524.50","2,554.75","2,509.25","-","-0.03%"
"Jun 28, 2021","2,531.75","2,493.50","2,543.75","2,470.75","-","1.46%"
"Jun 25, 2021","2,495.25","2,441.50","2,497.75","2,435.75","-","2.72%"
"Jun 24, 2021","2,429.25","2,427.00","2,427.75","2,422.97","-","-0.17%"
"Jun 23, 2021","2,433.50","2,426.50","2,442.75","2,411.75","-","0.36%"
"Jun 22, 2021","2,424.75","2,404.50","2,428.75","2,395.25","-","1.42%"
"Jun 21, 2021","2,390.75","2,391.62","2,397.70","2,375.00","-","0.66%"
"Jun 18, 2021","2,375.00","2,372.88","2,389.50","2,372.88","-","0.48%"
"Jun 17, 2021","2,363.75","2,446.75","2,464.00","2,352.50","-","-4.38%"
"Jun 16, 2021","2,472.00","2,451.25","2,475.75","2,427.25","-","0.66%"
"Jun 15, 2021","2,455.75","2,425.25","2,482.75","2,423.25","-","-1.09%"
"Jun 14, 2021","2,482.75","2,498.50","2,498.50","2,453.20","-","0.79%"
"Jun 11, 2021","2,463.25","2,474.75","2,504.75","2,460.25","-","-0.95%"
"Jun 10, 2021","2,486.75","2,490.80","2,491.55","2,472.80","-","0.56%"
"Jun 09, 2021","2,472.80","2,453.13","2,457.00","2,453.13","-","0.68%"
"Jun 08, 2021","2,456.00","2,447.51","2,449.39","2,423.26","-","1.35%"
"Jun 07, 2021","2,423.26","2,418.00","2,448.75","2,416.00","-","-1.04%"
"Jun 04, 2021","2,448.75","2,438.09","2,439.09","2,389.59","-","2.48%"
"Jun 03, 2021","2,389.59","2,423.70","2,454.95","2,375.63","0.09K","-1.64%"
"Jun 02, 2021","2,429.40","2,423.70","2,454.95","2,421.95","-","-1.04%"
"Jun 01, 2021","2,454.95","2,484.01","2,491.51","2,445.26","0.45K","-0.48%"
"May 28, 2021","2,466.76","2,493.25","2,494.00","2,432.27","-","0.22%"
"May 27, 2021","2,461.25","2,465.13","2,466.63","2,379.75","-","3.42%"
"May 26, 2021","2,379.75","2,392.50","2,393.50","2,349.75","-","1.26%"
"May 25, 2021","2,350.05","2,362.25","2,367.05","2,361.50","-","-0.72%"
"May 24, 2021","2,367.05","2,373.25","2,373.25","2,351.25","-","0.67%"
"May 21, 2021","2,351.25","2,364.00","2,377.65","2,345.53","-","-1.11%"
"May 20, 2021","2,377.65","2,354.25","2,397.25","2,340.89","-","-0.82%"
"May 19, 2021","2,397.25","2,461.25","2,461.25","2,402.72","-","-2.60%"
"May 18, 2021","2,461.25","2,447.75","2,484.82","2,446.50","-","-0.37%"
"May 17, 2021","2,470.45","2,484.35","2,490.50","2,448.25","-","0.91%"
"May 14, 2021","2,448.25","2,430.85","2,430.85","2,424.50","-","0.76%"
"May 13, 2021","2,429.75","2,435.13","2,459.52","2,431.90","-","-1.21%"
"May 12, 2021","2,459.52","2,500.70","2,500.70","2,472.70","-","-1.65%"
"May 11, 2021","2,500.70","2,512.85","2,524.93","2,512.85","-","-0.48%"
"May 10, 2021","2,512.85","2,512.74","2,524.20","2,511.85","-","-0.45%"
"May 07, 2021","2,524.20","2,523.00","2,525.24","2,475.00","-","1.99%"
"May 06, 2021","2,475.00","2,501.50","2,501.50","2,431.50","-","1.79%"
"May 05, 2021","2,431.50","2,435.25","2,435.75","2,416.75","-","0.61%"
"May 04, 2021","2,416.75","2,423.00","2,427.00","2,390.50","-","1.10%"
"Apr 30, 2021","2,390.50","2,406.50","2,414.43","2,391.71","-","-0.57%"
"Apr 29, 2021","2,404.25","2,402.10","2,408.67","2,386.10","-","0.76%"
"Apr 28, 2021","2,386.10","2,388.20","2,390.23","2,379.70","-","0.11%"
"Apr 27, 2021","2,383.45","2,392.25","2,392.25","2,388.05","-","-0.37%"
"Apr 26, 2021","2,392.25","2,391.25","2,391.50","2,352.75","-","1.68%"
"Apr 23, 2021","2,352.75","2,362.38","2,367.17","2,352.75","-","0.00%"
"Apr 22, 2021","2,352.75","2,354.50","2,354.50","2,354.50","-","-0.07%"
"Apr 21, 2021","2,354.50","2,353.63","2,355.13","2,296.75","-","2.51%"
"Apr 20, 2021","2,296.75","2,316.65","2,317.25","2,302.53","-","-0.86%"
"Apr 19, 2021","2,316.65","2,317.23","2,319.63","2,300.95","-","0.68%"
"Apr 16, 2021","2,300.95","2,304.45","2,323.20","2,301.45","-","-0.96%"
"Apr 15, 2021","2,323.20","2,308.50","2,331.75","2,308.50","-","0.64%"
"Apr 14, 2021","2,308.50","2,314.00","2,314.25","2,278.00","-","1.34%"
"Apr 13, 2021","2,278.00","2,288.25","2,289.00","2,246.50","-","1.40%"
"Apr 12, 2021","2,246.50","2,251.25","2,251.25","2,248.50","-","-0.09%"
"Apr 09, 2021","2,248.50","2,255.11","2,268.11","2,246.96","-","-0.86%"
"Apr 08, 2021","2,268.11","2,272.00","2,272.75","2,245.00","-","1.03%"
"Apr 07, 2021","2,245.00","2,255.25","2,255.25","2,245.50","-","-0.45%"
"Apr 06, 2021","2,255.25","2,209.25","2,249.47","2,209.25","-","2.08%"
"Apr 01, 2021","2,209.25","2,209.75","2,217.75","2,194.25","-","0.68%"
"Mar 31, 2021","2,194.25","2,214.50","2,214.50","2,196.25","-","-0.91%"
"Mar 30, 2021","2,214.50","2,250.00","2,250.00","2,212.07","-","-1.58%"
"Mar 29, 2021","2,250.00","2,284.00","2,284.00","2,257.60","-","-1.49%"
"Mar 26, 2021","2,284.00","2,269.75","2,281.75","2,231.25","-","2.36%"
"Mar 25, 2021","2,231.25","2,241.00","2,246.00","2,227.01","-","-0.57%"
"Mar 24, 2021","2,244.00","2,240.63","2,240.63","2,203.40","-","1.84%"
"Mar 23, 2021","2,203.40","2,260.00","2,263.50","2,176.00","0.08K","-2.35%"
"Mar 22, 2021","2,256.50","2,260.00","2,262.25","2,249.00","-","0.33%"
"Mar 19, 2021","2,249.00","2,253.88","2,261.13","2,194.20","-","2.36%"
"Mar 18, 2021","2,197.20","2,206.00","2,224.75","2,185.25","0.10K","-0.60%"
"Mar 17, 2021","2,210.50","2,206.00","2,221.75","2,187.00","0.12K","1.07%"
"Mar 16, 2021","2,187.00","2,184.38","2,202.88","2,177.63","-","-0.69%"
"Mar 15, 2021","2,202.25","2,204.00","2,210.72","2,155.00","0.53K","2.63%"
"Mar 12, 2021","2,145.75","2,145.25","2,150.00","2,142.00","0.04K","-0.19%"
"Mar 11, 2021","2,149.75","2,155.63","2,162.13","2,140.13","-","0.39%"
"Mar 10, 2021","2,141.50","2,141.75","2,151.00","2,136.50","-","-0.02%"
"Mar 09, 2021","2,142.00","2,142.00","2,145.75","2,137.10","-","-0.17%"
"Mar 08, 2021","2,145.75","2,149.00","2,155.00","2,144.13","0.08K","-0.33%"
"Mar 05, 2021","2,152.75","2,157.13","2,162.13","2,128.75","-","1.13%"
"Mar 04, 2021","2,128.75","2,112.00","2,175.00","2,105.25","-","-2.13%"
"Mar 03, 2021","2,175.00","2,179.00","2,194.25","2,178.50","-","-0.75%"
"Mar 02, 2021","2,191.50","2,203.38","2,206.63","2,105.25","0.30K","4.10%"
"Mar 01, 2021","2,105.25","2,103.38","2,132.13","2,085.63","0.30K","-1.24%"
"Feb 26, 2021","2,131.75","2,138.63","2,215.63","2,133.13","0.83K","-3.73%"
"Feb 25, 2021","2,214.35","2,212.50","2,212.50","2,163.00","-","2.37%"
"Feb 24, 2021","2,163.00","2,171.25","2,185.38","2,126.00","-","1.74%"
"Feb 23, 2021","2,126.00","2,132.25","2,147.75","2,123.50","-","-1.01%"
"Feb 22, 2021","2,147.75","2,155.26","2,158.76","2,114.51","-","1.56%"
"Feb 19, 2021","2,114.75","2,117.63","2,136.95","2,114.00","-","-0.39%"
"Feb 18, 2021","2,123.13","2,125.38","2,134.24","2,100.63","0.66K","1.03%"
"Feb 17, 2021","2,101.55","2,101.75","2,102.25","2,073.00","-","1.37%"
"Feb 16, 2021","2,073.25","2,071.25","2,075.50","2,070.25","-","0.10%"
"Feb 15, 2021","2,071.25","2,068.50","2,078.25","2,066.25","-","-0.67%"
"Feb 12, 2021","2,085.25","2,085.00","2,087.00","2,075.75","-","0.46%"
"Feb 11, 2021","2,075.75","2,075.09","2,077.34","2,069.59","-","0.03%"
"Feb 10, 2021","2,075.09","2,012.00","2,070.75","1,997.00","-","1.24%"
"Feb 09, 2021","2,049.75","2,055.85","2,059.10","2,023.35","-","1.30%"
"Feb 08, 2021","2,023.35","2,027.43","2,029.63","2,012.25","-","0.53%"
"Feb 05, 2021","2,012.75","2,011.65","2,013.98","1,987.40","0.01K","1.28%"
"Feb 04, 2021","1,987.40","1,988.50","1,989.50","1,966.75","-","1.05%"
"Feb 03, 2021","1,966.75","1,966.00","1,971.25","1,962.50","0.33K","0.09%"
"Feb 02, 2021","1,965.00","1,968.25","1,972.88","1,963.00","0.09K","0.05%"
"Feb 01, 2021","1,964.00","1,964.13","1,980.05","1,956.63","-","-0.45%"
"Jan 29, 2021","1,972.88","1,971.10","1,986.09","1,968.10","-","-0.23%"
"Jan 28, 2021","1,977.35","1,987.75","2,016.50","1,962.62","0.28K","-0.39%"
"Jan 27, 2021","1,985.00","1,987.75","2,016.50","1,983.25","-","-1.56%"
"Jan 26, 2021","2,016.50","2,015.33","2,021.58","2,009.33","-","0.36%"
"Jan 25, 2021","2,009.33","2,009.50","2,012.00","1,986.75","-","1.14%"
"Jan 22, 2021","1,986.75","1,985.25","1,987.00","1,974.91","-","-0.01%"
"Jan 21, 2021","1,987.00","1,989.13","1,995.76","1,969.45","-","0.89%"
"Jan 20, 2021","1,969.45","1,953.80","1,978.05","1,953.80","0.30K","0.80%"
"Jan 19, 2021","1,953.80","1,959.50","1,963.25","1,959.50","-","-0.39%"
"Jan 18, 2021","1,961.50","1,984.00","1,984.00","1,963.50","-","-1.47%"
"Jan 15, 2021","1,990.75","1,985.25","2,004.75","1,982.00","-","-0.70%"
"Jan 14, 2021","2,004.75","2,009.10","2,016.75","1,981.88","0.10K","-0.29%"
"Jan 13, 2021","2,010.50","2,009.10","2,013.85","2,007.35","-","-0.17%"
"Jan 12, 2021","2,013.85","2,020.63","2,022.13","2,003.55","-","0.51%"
"Jan 11, 2021","2,003.55","2,006.25","2,018.00","2,002.14","-","-0.72%"
"Jan 08, 2021","2,018.00","2,017.50","2,031.25","2,011.00","-","-0.65%"
